,id,budget,budget_norm,budget_log,genres,popularity,popularity_norm,release_date,revenue,revenue_norm,revenue_log,runtime,runtime_norm,title,vote_average,vote_average_norm,vote_count,vote_count_norm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
47,10530,55000000,0.144736842,7.740362689," Adventure, Animation, Drama, Family",13.280069,0.02425635,6/14/1995,346079773,0.124133467,8.539176217,81,0.226537217,Pocahontas,6.7,0.67,1509,0.107211368,Irene Bedard, Mel Gibson, David Ogden Stiers, John Kassir, Russell Means, Christian Bale,"Mike Gabriel, Eric Goldberg"
49,629,6000000,0.015789474,6.77815125," Drama, Crime, Thriller",16.302466,0.029776828,7/19/1995,23341568,0.008372259,7.368130027,106,0.307443366,The Usual Suspects,8.1,0.81,3334,0.23687389,Stephen Baldwin, Gabriel Byrne, Chazz Palminteri, Kevin Pollak, Pete Postlethwaite, Kevin Spacey,Bryan Singer
56,9089,0.0001,0,0," Comedy, Drama, Romance",8.416802,0.015373481,11/2/1995,17519169,0.006283855,7.243513502,103,0.297734628,Home for the Holidays,6.3,0.63,39,0.00277087,Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning, Claire Danes, Dylan McDermott,Jodie Foster
61,2054,0.0001,0,0," Music, Drama, Family",7.137117,0.013036107,12/29/1995,106269971,0.038117396,8.026410562,137,0.40776699,Mr. Holland's Opus,6.9,0.69,115,0.008170515,Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis, William H. Macy, Alicia Witt,Stephen Herek
65,11525,0.0001,0,0," Action, Science Fiction",2.49535,0.004557812,1/12/1996,2409225,0.000864151,6.381877361,92,0.262135922,Lawnmower Man 2: Beyond Cyberspace,2.8,0.28,32,0.002273535,Patrick Bergin, Matt Frewer, Ely Pouget, Camille Cooper, Patrick LaBrecque, Crystal Celeste Grant,Farhad Mann
68,10634,3500000,0.009210526,6.544068044,Comedy,14.56965,0.0266118,4/26/1995,28215918,0.010120613,7.450494185,91,0.258899676,Friday,7,0.7,513,0.036447602,Ice Cube, Chris Tucker, Nia Long, Tom Lister Jr., John Witherspoon, Anna Maria Horsford,F. Gary Gray
69,755,19000000,0.05,7.278753601," Horror, Action, Thriller, Crime",15.339153,0.028017315,1/19/1996,25836616,0.009267195,7.412235631,108,0.313915858,From Dusk Till Dawn,6.9,0.69,1644,0.116802842,George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Ernest Liu, Salma Hayek,Robert Rodriguez
71,28387,0.0001,0,0," Comedy, Drama, Romance",3.367276,0.006150405,10/6/1995,718490,0.000257711,5.856420728,96,0.275080906,Kicking and Screaming,7,0.7,36,0.002557726,Josh Hamilton, Carlos Jacott, Eric Stoltz, Chris Eigeman, Jason Wiles, Parker Posey,Noah Baumbach
73,20927,0.0001,0,0," Drama, Romance",10.412194,0.019018111,1/26/1996,19030691,0.006826014,7.279454558,87,0.245954693,Bed of Roses,5.1,0.51,27,0.001918295,Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin, Brian Tarantina, Debra Monk,Michael Goldenberg
87,13997,0.0001,0,0,Comedy,8.963037,0.016371192,2/1/1996,32,1.11192E-08,1.505149978,87,0.245954693,Black Sheep,6,0.6,124,0.008809947,Chris Farley, David Spade, Grant Heslov, Tim Matheson, Gary Busey, Bruce McGill,Penelope Spheeris
