id,budget,budget_norm,budget_log,genres,popularity,popularity_norm,release_date,revenue,revenue_norm,revenue_log,runtime,runtime_norm,title,vote_average,vote_average_norm,vote_count,vote_count_norm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director,keywords,woman director,independent film,murder,based on novel,musical,sex,violence,nudity,biography,revenge,suspense,love,female nudity,sport,police,Martin Scorsese,Ang Lee,Steven Spielberg
9273,30000000,0.078947368,7.477121255," Crime, Comedy, Adventure",8.205448,0.014987438,11/10/1995,212385533,0.076179409,8.327124931,90,0.25566343,Ace Ventura: When Nature Calls,6.1,0.61,1128,0.080142096,Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi, Bob Gunton, Sophie Okonedo,Steve Oedekerk,"[africa, indigenous, human animal relationship, bat]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8012,30250000,0.079605263,7.480725379," Comedy, Thriller, Crime",12.669608,0.023141329,10/20/1995,115101622,0.041285173,8.061081444,105,0.30420712,Get Shorty,6.4,0.64,305,0.021669627,John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina, Delroy Lindo,Barry Sonnenfeld,"[gambling, miami, based on novel, job, murder, travel, mafia, money, debt, mobster, business, hollywood, gangster, crime, violence, drug, producer, con]",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
451,3600000,0.009473684,6.556302501," Drama, Romance",10.332025,0.01887168,10/27/1995,49800000,0.01786249,7.697229343,112,0.326860841,Leaving Las Vegas,7.1,0.71,365,0.025932504,Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis, Steven Weber, Kim Adams,Mike Figgis,"[individual, prostitute, alcohol, casino, love at first sight, lovesickness, film producer, screenwriter, hotel room, dying and death, rage and hate, unsociability, alcoholism, los angeles, alcohol abuse, attempted suicide]",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9263,12000000,0.031578947,7.079181246," Comedy, Drama, Family",8.681325,0.015856638,10/20/1995,27400000,0.009827956,7.437750563,100,0.28802589,Now and Then,6.6,0.66,91,0.006465364,Christina Ricci, Thora Birch, Melanie Griffith, Gaby Hoffmann, Demi Moore, Ashleigh Aston Moore,Lesli Linka Glatter,"[1970s, female friendship, coming of age, gynecologist, photocopier, truth or dare, woman director]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9909,0.0001,0,0," Drama, Crime",9.481338,0.017317881,8/11/1995,180000000,0.064563218,8.255272505,99,0.284789644,Dangerous Minds,6.4,0.64,249,0.017690941,Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett, John Neville, Beatrice Winde,John N. Smith,"[rap music, karate, high school, naval officer, teacher, amusement park]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,29500000,0.077631579,7.469822016," Science Fiction, Thriller, Mystery",12.297305,0.022461309,12/29/1995,168840000,0.060560299,8.227475343,129,0.381877023,Twelve Monkeys,7.4,0.74,2470,0.175488455,Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer, David Morse, Jon Seda,Terry Gilliam,"[schizophrenia, philadelphia, cassandra syndrom, stockholm syndrome, time travel, post-apocalyptic, dystopia, lethal virus, monkey, subterranean]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9598,30000000,0.078947368,7.477121255," Fantasy, Drama, Comedy, Family",14.404764,0.026310632,7/18/1995,254134910,0.091154265,8.405064327,89,0.252427184,Babe,6,0.6,756,0.053712256,Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn, James Cromwell,Chris Noonan,"[sheep, pig, affection, piglet, heroism, talking animal, separation, german shepherd, grandson, talking pig]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687,11000000,0.028947368,7.041392685,Drama,6.891317,0.012587148,12/29/1995,39363635,0.014119127,7.595095196,122,0.359223301,Dead Man Walking,7.3,0.73,350,0.024866785,Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey, Celia Weston,,"[prison, rape, socially deprived family, penalty, death penalty, despair, death row, begnadigung, therapist, self-discovery, prison cell, court case, death sentence, doomed man, sentence, lethal injection, forgiveness, charity, mercy petition, rage and hate, unsociability, right and justice, court, electric chair, cowardliness]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34615,0.0001,0,0,Drama,0.894647,0.001634092,12/15/1995,676525,0.000242659,5.83028385,106,0.307443366,"Cry, the Beloved Country",6.7,0.67,13,0.000923623,James Earl Jones, Charles S. Dutton, Jack Robinson, Tsholofelo Wechoemang, Ramalao Makhene, Richard Harris,Darrell James Roodt,[south africa],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9312,18000000,0.047368421,7.255272505," Action, Fantasy",10.870138,0.019854556,8/18/1995,122195920,0.043829788,8.087056705,101,0.291262136,Mortal Kombat,5.4,0.54,452,0.032113677,Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa, Bridgette Wilson, Talisa Soto,Paul W.S. Anderson,"[martial arts, monster, island, gore, sorcerer, tournament, violence, based on video game, hand to hand combat]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
