,id,budget,budget_log,genres,popularity,release_date,revenue,revenue_log,runtime,title,vote_average,vote_count,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
17,5,4000000,6.602059991," Crime, Comedy",9.026586,12/9/1995,4300000,6.633468456,98,Four Rooms,6.5,539,Tim Roth, Antonio Banderas, Jennifer Beals, Madonna, Marisa Tomei, Bruce Willis,
256,11,11000000,7.041392685," Adventure, Action, Science Fiction",42.149697,5/25/1977,775398007,8.88952468,121,Star Wars,8.1,6778,Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels,George Lucas
6255,12,94000000,7.973127854," Animation, Family",25.497794,5/30/2003,940335536,8.973282849,100,Finding Nemo,7.6,6292,Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett, Allison Janney,"Photoscience Manager, James Burgess, Fix"
351,13,55000000,7.740362689," Comedy, Drama, Romance",48.307194,7/6/1994,677945399,8.831194718,142,Forrest Gump,8.2,8147,Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson, Sally Field, Michael Conner Humphreys,Robert Zemeckis
2751,14,15000000,7.176091259,Drama,20.726578,9/15/1999,356296601,8.551811679,122,American Beauty,7.9,3438,Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley, Mena Suvari, Chris Cooper,Sam Mendes
902,15,839727,5.924138117," Mystery, Drama",15.811921,4/30/1941,23217674,7.365818709,119,Citizen Kane,8,1244,Orson Welles, Joseph Cotten, Dorothy Comingore, Ray Collins, George Coulouris, Agnes Moorehead,Orson Welles
3795,16,12800000,7.10720997," Drama, Crime, Music",10.684806,5/17/2000,40031879,7.602405975,140,Dancer in the Dark,7.7,392,Björk, Catherine Deneuve, David Morse, Peter Stormare, Joel Grey, Cara Seymour,Lars von Trier
1467,18,90000000,7.954242509," Adventure, Fantasy, Action, Thriller, Science Fiction",24.30526,5/7/1997,263920180,8.421472599,126,The Fifth Element,7.3,3962,Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich, Chris Tucker, Luke Perry," Third  Simon Downes, Third  Robert Grayson, Third  Susan Inge Wood"
6413,22,140000000,8.146128036," Adventure, Fantasy, Action",47.326665,7/9/2003,655011224,8.816248742,143,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191,Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Jonathan Pryce,"Matchmove Supervisor, Jason H. Snell"
6748,24,30000000,7.477121255," Action, Crime",25.261865,10/10/2003,180949000,8.257556187,111,Kill Bill: Vol. 1,7.7,5091,Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah, David Carradine, Michael Madsen,Quentin Tarantino
10546,25,72000000,7.857332496," Drama, War",9.997032,11/4/2005,96889998,7.986278947,125,Jarhead,6.6,776,Jamie Foxx, Jake Gyllenhaal, Scott MacDonald, Lucas Black, Peter Sarsgaard, Laz Alonso,Sam Mendes
10109,27,1000000,6," Drama, Music, Romance",18.847707,7/16/2004,1574623,6.197176591,66,9 Songs,5.1,103,Margo Stilley, Courtney Taylor-Taylor, Alex Kapranos, Guy Garvey, Robert Levon Been, Peter Hayes,Michael Winterbottom
1172,28,31500000,7.498310554," Drama, War",13.5963,8/15/1979,89460381,7.951630743,153,Apocalypse Now,8,2112,Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest, Sam Bottoms, Laurence Fishburne,Francis Ford Coppola
1228,33,14000000,7.146128036,Western,10.942149,8/7/1992,159157447,8.201826964,131,Unforgiven,7.7,1133,Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris, Jaimz Woolvett, Anna Levine,Clint Eastwood
11993,35,75000000,7.875061263," Animation, Comedy, Family",14.302911,7/25/2007,527068851,8.721867351,87,The Simpsons Movie,6.9,2335,Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria, Harry Shearer,"David Silverman,  Layout,  Juan , Jo,  Luna"
7231,38,20000000,7.301029996," Science Fiction, Drama, Romance",12.906327,3/19/2004,72258126,7.858886694,108,Eternal Sunshine of the Spotless Mind,7.9,3758,Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood, Tom Wilkinson,Michel Gondry
4116,55,2000000,6.301029996," Drama, Thriller",5.958138,6/16/2000,20908467,7.320322192,154,Amores perros,7.6,537,Gael García Bernal, Vanessa Bauche, Goya Toledo, Alvaro Guerrero, Emilio Echevarría, Jorge Salinas,"Alejandro González Iñárritu, Post"
11037,58,200000000,8.301029996," Adventure, Fantasy, Action",29.455314,6/20/2006,1065659812,9.027618588,151,Pirates of the Caribbean: Dead Man's Chest,7,5380,Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Bill Nighy, Jack Davenport,Gore Verbinski
10413,59,32000000,7.505149978," Drama, Thriller, Crime",11.119707,9/23/2005,60740827,7.783480701,96,A History of Violence,6.9,850,Viggo Mortensen, Maria Bello, Heidi Hayes, Ashton Holmes, William Hurt, Ed Harris,David Cronenberg
903,62,10500000,7.021189299," Science Fiction, Mystery, Adventure",22.494622,4/10/1968,68700000,7.836956737,149,2001: A Space Odyssey,7.9,3075,Keir Dullea, Gary Lockwood, William Sylvester, Douglas Rain, Daniel Richter, Leonard Rossiter,
31,63,29500000,7.469822016," Science Fiction, Thriller, Mystery",12.297305,12/29/1995,168840000,8.227475343,129,Twelve Monkeys,7.4,2470,Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer, David Morse, Jon Seda,Terry Gilliam
5762,64,9285469,6.967803844," Drama, Romance",6.648278,3/14/2002,51001550,7.707583375,112,Talk to Her,7.5,273,Leonor Watling, Rosario Flores, Javier Cámara, Darío Grandinetti, Mariola Fuentes, Geraldine Chaplin,Pedro Almodóvar
5691,65,41000000,7.612783857,Drama,8.374355,11/8/2002,215000000,8.33243846,110,8 Mile,6.8,1676,Eminem, Mekhi Phifer, Brittany Murphy, Kim Basinger, Michael Shannon, Taryn Manning,Curtis Hanson
1409,66,50000000,7.698970004," Crime, Drama, Thriller",7.66124,2/14/1997,50068310,7.699562933,121,Absolute Power,6.4,226,Clint Eastwood, Gene Hackman, Ed Harris, Scott Glenn, Laura Linney, Judy Davis,Clint Eastwood
10585,69,28000000,7.447158031," Drama, Music, Romance",11.476443,9/13/2005,186438883,8.270536492,136,Walk the Line,7.3,732,Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin, Robert Patrick, Tyler Hilton, Johnathan Rice,
9546,70,30000000,7.477121255,Drama,14.471373,12/15/2004,216763646,8.335986447,132,Million Dollar Baby,7.7,2519,Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel, Mike Colter, Lucia Rijker,Clint Eastwood
3851,71,5000000,6.698970004," Drama, Comedy, Music",12.158424,5/18/2000,110000000,8.041392685,110,Billy Elliot,7.4,774,Jamie Bell, Julie Walters, Jean Heywood, Jamie Draven, Gary Lewis, Stephen Mangan,Stephen Daldry
2222,73,20000000,7.301029996,Drama,18.157166,10/30/1998,23875127,7.37794569,119,American History X,8.2,3120,Edward Norton, Edward Furlong, Avery Brooks, Jennifer Lien, Ethan Suplee, Stacy Keach,
10203,74,132000000,8.120573931," Adventure, Thriller, Science Fiction",19.929377,6/28/2005,591739379,8.772130472,116,War of the Worlds,6.2,2397,Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin, Tim Robbins, Camillia Sanes,"Armorer, Frank House, Armorer, Steve Karnes, Armorer, Karl J. Weschta,   Security, Sean G. Miller"
1349,75,70000000,7.84509804," Comedy, Fantasy, Science Fiction",15.63424,12/12/1996,101371017,8.005913804,106,Mars Attacks!,6.1,1544,Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short,"Tim Burton, VFX"
212,76,2500000,6.397940009," Drama, Romance",11.304979,1/27/1995,5535405,6.743149402,105,Before Sunrise,7.7,984,Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl, Karl Bruckschwaiger, Tex Rubinowitz,Richard Linklater
4107,77,9000000,6.954242509," Mystery, Thriller",15.450789,10/11/2000,39723096,7.59904309,113,Memento,8.1,4168,Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior, Stephen Tobolowsky, Harriet Sansom Harris,Christopher Nolan
536,78,28000000,7.447158031," Science Fiction, Drama, Thriller",96.272374,6/25/1982,33139618,7.520347498,117,Blade Runner,7.9,3833,Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah,
6961,79,31000000,7.491361694," Drama, Adventure, Action, History",9.861765,12/19/2002,177394432,8.248939984,99,Hero,7.3,647,Jet Li, Tony Leung Chiu-Wai, Maggie Cheung, Donnie Yen, Zhang Ziyi, Chen Dao-Ming,Zhang Yimou
7935,80,2700000,6.431363764," Drama, Romance",7.048957,2/10/2004,15992615,7.203919482,80,Before Sunset,7.6,734,Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès, Rodolphe Pauly, Mariane Plasteig,Richard Linklater
6970,81,1000000,6," Adventure, Animation, Fantasy",11.267366,3/11/1984,3301446,6.518704198,117,Nausicaä of the Valley of the Wind,7.7,808,Sumi Shimamoto, Ichirō Nagai, Gorō Naya, Yōji Matsuda, Yoshiko Sakakibara, Iemasa Kayumi,"Hayao Miyazaki, Comic Book, Hayao Miyazaki"
11159,82,135000000,8.130333768," Action, Adventure, Crime, Thriller",11.72545,7/27/2006,163794509,8.214299339,134,Miami Vice,5.7,494,Jamie Foxx, Colin Farrell, Gong Li, Luis Tosar, Naomie Harris, Justin Theroux,Associate
9485,83,130000,5.113943352," Drama, Thriller",10.652818,8/6/2004,54667954,7.73773282,79,Open Water,5.3,320,Blanchard Ryan, Daniel Travis, Saul Stein, Michael E. Williamson, Christina Zenato, John Charles,Chris Kentis
1163,85,18000000,7.255272505," Adventure, Action",19.901576,6/12/1981,389925971,8.590982162,115,Raiders of the Lost Ark,7.7,3949,Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey, John Rhys-Davies, Denholm Elliott,
2012,87,28000000,7.447158031," Adventure, Action",15.802306,5/23/1984,333000000,8.522444234,118,Indiana Jones and the Temple of Doom,7.1,2841,Harrison Ford, Kate Capshaw, Jonathan Ke Quan, Amrish Puri, Roshan Seth, Philip Stone,Steven Spielberg
1063,88,6000000,6.77815125," Drama, Music, Romance",14.044122,8/21/1987,213954274,8.330320966,100,Dirty Dancing,7.1,1371,Jennifer Grey, Patrick Swayze, Jerry Orbach, Cynthia Rhodes, Jack Weston, Jane Brucker,Emile Ardolino
1253,89,48000000,7.681241237," Adventure, Action",14.788987,5/24/1989,474171806,8.675935727,127,Indiana Jones and the Last Crusade,7.6,3221,Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody, John Rhys-Davies, Julian Glover,
3968,90,15000000,7.176091259," Action, Comedy, Crime",8.503483,11/29/1984,316360478,8.500182223,105,Beverly Hills Cop,6.8,985,Eddie Murphy, Judge Reinhold, John Ashton, Ronny Cox, Paul Reiser, Gilbert R. Hill,Martin Brest
1814,95,140000000,8.146128036," Action, Thriller, Science Fiction, Adventure",13.235112,7/1/1998,553799566,8.743352611,151,Armageddon,6.5,2540,Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler, Will Patton, Steve Buscemi,
3967,96,20000000,7.301029996," Action, Comedy, Crime",9.200336,5/18/1987,299965036,8.477070636,100,Beverly Hills Cop II,6.1,627,Eddie Murphy, Judge Reinhold, John Ashton, Ronny Cox, Paul Reiser, Gilbert R. Hill,Tony Scott
2002,97,17000000,7.230448921," Science Fiction, Action, Adventure",16.574021,7/9/1982,33000000,7.51851394,96,Tron,6.6,717,Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan, Barnard Hughes, Dan Shor,Steven Lisberger
3465,98,103000000,8.012837225," Action, Drama, Adventure",23.186667,5/1/2000,457640427,8.660524382,155,Gladiator,7.9,5566,Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Derek Jacobi,Ridley Scott
2975,99,8272296,6.917626066," Comedy, Drama",10.000915,4/19/1999,67872296,7.831692541,101,All About My Mother,7.4,337,Cecilia Roth, Marisa Paredes, Penélope Cruz, Candela Peña, Antonia San Juan, Rosa Maria Sardà,Pedro Almodóvar
2435,100,1350000,6.130333768," Comedy, Crime",4.60786,3/5/1998,3897569,6.590793812,105,"Lock, Stock and Two Smoking Barrels",7.5,1671,Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham, Vinnie Jones, Sting,Guy Ritchie
289,101,16000000,7.204119983," Thriller, Crime, Drama",20.477329,9/14/1994,45284974,7.655954123,110,Leon: The Professional,8.2,4293,Jean Reno, Natalie Portman, Gary Oldman, Danny Aiello, Peter Appel, Michael Badalucco,Luc Besson
109,103,1300000,6.113943352," Crime, Drama",14.092713,2/7/1976,28262574,7.451211712,114,Taxi Driver,8.1,2632,Robert De Niro, Cybill Shepherd, Harvey Keitel, Jodie Foster, Peter Boyle, Leonard Harris,Martin Scorsese
2586,104,1530000,6.184691431," Action, Drama, Thriller",7.765379,8/20/1998,7267585,6.86139012,81,Run Lola Run,7.2,672,Franka Potente, Moritz Bleibtreu, Herbert Knaup, Nina Petri, Armin Rohde, Joachim Król,Tom Tykwer
1232,105,19000000,7.278753601," Adventure, Comedy, Science Fiction, Family",25.778509,7/3/1985,381109762,8.581050073,116,Back to the Future,8,6239,Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Thomas F. Wilson, Claudia Wells,Robert Zemeckis
3415,106,18000000,7.255272505," Science Fiction, Action, Adventure, Thriller",18.495694,6/11/1987,98235548,7.992268672,107,Predator,7.3,2129,Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke, Jesse Ventura, Sonny Landham,John McTiernan
3895,107,10000000,7," Thriller, Crime",14.014025,9/1/2000,83557872,7.921987371,103,Snatch,7.7,2953,Benicio del Toro, Dennis Farina, Vinnie Jones, Brad Pitt, Rade Serbedzija, Jason Statham,"Researcher, Willi Geiger, Score Engineer, Daniel L. Griffiths"
4146,111,25000000,7.397940009," Action, Crime, Drama, Thriller",11.299673,12/8/1983,65884703,7.818784593,170,Scarface,8,3017,Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio, Robert Loggia, Miriam Colón,Brian De Palma
590,114,14000000,7.146128036," Romance, Comedy",13.348451,3/23/1990,463000000,8.665580991,119,Pretty Woman,7,1807,Julia Roberts, Richard Gere, Ralph Bellamy, Jason Alexander, Héctor Elizondo, Larry Miller,Garry Marshall
1656,115,15000000,7.176091259," Comedy, Crime",15.952524,3/6/1998,46189568,7.6645439,117,The Big Lebowski,7.8,3001,Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, Philip Seymour Hoffman, David Huddleston,Joel Coen
10614,116,15000000,7.176091259," Drama, Thriller, Crime, Romance",9.020372,10/26/2005,85306374,7.930981482,124,Match Point,7.2,1134,Jonathan Rhys Meyers, Scarlett Johansson, Emily Mortimer, Brian Cox, Penelope Wilton, James Nesbitt,
2091,117,25000000,7.397940009," Crime, Drama, History, Thriller",11.062203,6/2/1987,76270454,7.882356332,119,The Untouchables,7.6,1424,Kevin Costner, Sean Connery, Charles Martin Smith, Andy García, Robert De Niro, Richard Bradford,Brian De Palma
9560,118,150000000,8.176091259," Adventure, Comedy, Family, Fantasy",22.038405,7/13/2005,474968763,8.676665049,115,Charlie and the Chocolate Factory,6.7,3759,Johnny Depp, Freddie Highmore, David Kelly, AnnaSophia Robb, Julia Winter, Jordan Fry,Tim Burton
4876,120,93000000,7.968482949," Adventure, Fantasy, Action",32.070725,12/18/2001,871368364,8.940201788,178,The Lord of the Rings: The Fellowship of the Ring,8,8892,Elijah Wood, Ian McKellen, Cate Blanchett, Orlando Bloom, Sean Bean, Viggo Mortensen,"Peter Jackson,  Supervisor, Guy Williams"
5836,121,79000000,7.897627091," Adventure, Fantasy, Action",29.423537,12/18/2002,926287400,8.966745757,179,The Lord of the Rings: The Two Towers,8,7641,Elijah Wood, Ian McKellen, Viggo Mortensen, Liv Tyler, Orlando Bloom, John Rhys-Davies,"Peter Jackson,  Supervisor, Guy Williams"
7023,122,94000000,7.973127854," Adventure, Fantasy, Action",29.324358,12/1/2003,1118888979,9.048786996,201,The Lord of the Rings: The Return of the King,8.1,8226,Elijah Wood, Ian McKellen, Viggo Mortensen, Liv Tyler, Orlando Bloom, John Rhys-Davies,"Peter Jackson Supervisor, Guy Williams"
2013,123,4000000,6.602059991," Fantasy, Drama, Animation, Adventure",7.914795,11/15/1978,30471420,7.483892693,132,The Lord of the Rings,6.1,187,Christopher Guard, William Squire, Michael Scholes, John Hurt, Simon Chandler, Dominic Guard,Ralph Bakshi
2893,128,26500000,7.423245874," Adventure, Fantasy, Animation",17.166725,7/12/1997,159375308,8.202421037,134,Princess Mononoke,8.2,2041,Yōji Matsuda, Yuriko Ishida, Yūko Tanaka, Kaoru Kobayashi, Masahiko Nishimura, Tsunehiko Kamijô,
5497,129,15000000,7.176091259," Fantasy, Adventure, Animation, Family",41.048867,7/20/2001,274925095,8.439214384,125,Spirited Away,8.3,3968,Rumi Hiiragi, Miyu Irino, Mari Natsuki, Bunta Sugawara, Yumi Tamai, Ryunosuke Kamiki,"Hayao Miyazaki, Theme Song Performance, Youmi Kimura"
3911,134,26000000,7.414973348," Action, Adventure, Comedy",12.434175,8/30/2000,71868327,7.856537535,106,"O Brother, Where Art Thou?",7.3,1144,George Clooney, John Turturro, Tim Blake Nelson, John Goodman, Holly Hunter, Chris Thomas King,Joel Coen
1227,137,14600000,7.164352856," Romance, Fantasy, Drama, Comedy",12.989627,2/11/1993,70906973,7.850688946,101,Groundhog Day,7.4,2358,Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Doyle-Murray, Angela Paton,Harold Ramis
2536,138,355000,5.550228353,Horror,7.503126,2/12/1931,1012189,6.005261613,72,Dracula,7.2,254,Bela Lugosi, Helen Chandler, David Manners, Dwight Frye, Edward Van Sloan, Herbert Bunston,
8273,140,5000000,6.698970004," Crime, Drama, Romance, Thriller",7.66414,3/19/2004,40266982,7.604949081,106,Bad Education,7.1,223,Gael García Bernal, Fele Martínez, Daniel Giménez Cacho, Lluís Homar, Francisco Maestre, Francisco Boira,Pedro Almodóvar
10479,142,14000000,7.146128036," Drama, Romance",11.787044,9/2/2005,178043761,8.25052676,134,Brokeback Mountain,7.5,1531,Heath Ledger, Jake Gyllenhaal, Randy Quaid, Michelle Williams, Anne Hathaway, Larry Reese,
1175,144,2500000,6.397940009," Drama, Fantasy, Romance",6.357321,1/1/1987,3200000,6.505149978,128,Wings of Desire,7.5,256,Bruno Ganz, Otto Sander, Solveig Dommartin, Curt Bois, Peter Falk, Hans Martin Stier,Wim Wenders
3880,146,17000000,7.230448921," Adventure, Drama, Action, Romance",19.944953,10/1/2000,213525736,8.329450228,120,"Crouching Tiger, Hidden Dragon",7.2,949,Chow Yun-fat, Michelle Yeoh, Zhang Ziyi, Chang Chen, Cheng Pei-Pei, Sihung Lung,
4932,150,12000000,7.079181246," Thriller, Action, Comedy, Crime, Drama",15.297121,12/7/1982,78868508,7.896903625,96,48 Hrs.,6.5,364,Nick Nolte, Eddie Murphy, Frank McRae, James Remar, David Patrick Kelly, Sonny Landham,Walter Hill
1329,152,35000000,7.544068044," Science Fiction, Adventure, Mystery",8.277765,12/6/1979,139000000,8.1430148,132,Star Trek: The Motion Picture,6.2,541,William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei, Walter Koenig,Robert Wise
6585,153,4000000,6.602059991,Drama,11.609441,8/31/2003,119723856,8.078180696,102,Lost in Translation,7.3,1943,Bill Murray, Scarlett Johansson, Anna Faris, Giovanni Ribisi, Akiko Takeshita, Kazuyoshi Minamimagoe,
1332,154,12000000,7.079181246," Action, Adventure, Science Fiction, Thriller",7.160236,6/3/1982,96800000,7.985875357,113,Star Trek II: The Wrath of Khan,7.3,688,William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei, Walter Koenig,Nicholas Meyer
12514,155,185000000,8.267171728," Drama, Action, Crime, Thriller",123.167259,7/16/2008,1004558444,9.001975209,152,The Dark Knight,8.3,12269,Christian Bale, Michael Caine, Heath Ledger, Aaron Eckhart, Gary Oldman, Maggie Gyllenhaal,"Animatronic and Prosthetic Effects, Jim Boulden"
1333,157,18000000,7.255272505," Science Fiction, Action, Adventure, Thriller",6.197298,5/31/1984,87000000,7.939519253,105,Star Trek III: The Search for Spock,6.4,443,William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei, Walter Koenig,Leonard Nimoy
4846,161,85000000,7.929418926," Thriller, Crime",12.114932,12/7/2001,450717150,8.653904083,116,Ocean's Eleven,7.2,3857,George Clooney, Brad Pitt, Matt Damon, Andy García, Julia Roberts, Casey Affleck,"Dolly Grip, Paul Threlkeld, Ager/Dyer, Sharon Fauvel, Negative Cutter, Paul Tanzillo Jr."
2184,162,20000000,7.301029996," Fantasy, Drama, Romance",17.612244,12/5/1990,53000000,7.72427587,105,Edward Scissorhands,7.5,3731,Johnny Depp, Winona Ryder, Dianne Wiest, Alan Arkin, Anthony Michael Hall, Vincent Price,Tim Burton
8284,163,110000000,8.041392685," Thriller, Crime",11.869347,12/9/2004,362744280,8.559600573,125,Ocean's Twelve,6.4,2169,George Clooney, Brad Pitt, Catherine Zeta-Jones, Julia Roberts, Andy García, Casey Affleck,
881,164,2500000,6.397940009," Comedy, Drama, Romance",10.879289,10/5/1961,9500000,6.977723605,110,Breakfast at Tiffany's,7.6,1082,Audrey Hepburn, George Peppard, Patricia Neal, Buddy Ebsen, Martin Balsam, Mickey Rooney,Blake Edwards
1908,165,40000000,7.602059991," Adventure, Comedy, Family, Science Fiction",13.689855,11/20/1989,332000000,8.521138084,108,Back to the Future Part II,7.4,3926,Michael J. Fox, Christopher Lloyd, Lea Thompson, Elisabeth Shue, James Tolkan, Jeffrey Weissman,Robert Zemeckis
4758,167,48000000,7.681241237," Drama, Science Fiction",12.400152,10/22/2001,50315140,7.701698685,120,K-PAX,7.1,710,Jeff Bridges, Kevin Spacey, Mary McCormack, Alfre Woodard, Ajay Naidu, Vincent Laresca,"Iain Softley, Steadicam Operator, Jim McConkey"
1334,168,24000000,7.380211242," Science Fiction, Adventure",12.596956,11/25/1986,133000000,8.123851641,119,Star Trek IV: The Voyage Home,6.9,490,William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei, Walter Koenig,Leonard Nimoy
3584,169,35000000,7.544068044," Science Fiction, Action, Thriller",11.736241,11/20/1990,57120318,7.756790617,108,Predator 2,6,743,Kevin Peter Hall, Danny Glover, Gary Busey, Rubén Blades, María Conchita Alonso, Bill Paxton,Stephen Hopkins
6376,170,5000000,6.698970004," Horror, Thriller, Science Fiction",17.656951,10/31/2002,82719885,7.917609922,113,28 Days Later,7.1,1816,Cillian Murphy, Naomie Harris, Noah Huntley, Christopher Dunne, Emma Hitching, Alexander Delamere,
1331,172,30000000,7.477121255," Science Fiction, Action, Adventure, Thriller",12.308007,6/9/1989,70200000,7.846337112,107,Star Trek V: The Final Frontier,5.6,384,William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei, Walter Koenig,William Shatner
997,173,5000000,6.698970004," Adventure, Drama, Science Fiction",8.722406,12/23/1954,28200000,7.450249108,127,"20,000 Leagues Under the Sea",6.9,160,Kirk Douglas, James Mason, Paul Lukas, Peter Lorre, Robert J. Wilke, Ted de Corsia,Richard Fleischer
1330,174,27000000,7.431363764," Science Fiction, Action, Adventure, Thriller",5.90057,12/5/1991,96900000,7.986323777,113,Star Trek VI: The Undiscovered Country,6.7,421,William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan, George Takei, Walter Koenig,Nicholas Meyer
8257,176,1200000,6.079181246," Horror, Mystery, Crime",23.508433,10/1/2004,103911669,8.01666432,103,Saw,7.2,2255,Cary Elwes, Danny Glover, Monica Potter, Michael Emerson, Ken Leung, Tobin Bell,James Wan
3000,177,24000000,7.380211242," Comedy, Drama",11.184385,9/9/1991,41895491,7.622167285,137,The Fisher King,7.2,346,Jeff Bridges, Robin Williams, Mercedes Ruehl, Amanda Plummer, Michael Jeter, Lara Harris,Terry Gilliam
9484,179,80000000,7.903089987," Crime, Thriller",12.047671,4/8/2005,162944923,8.212040833,128,The Interpreter,6.2,400,Nicole Kidman, Sean Penn, Catherine Keener, Jesper Christensen, Yvan Attal, Earl Cameron," Seamstress, Laurie Buehler,  Security, Terry McAllister, Researcher, Brainerd Taylor"
5327,180,102000000,8.008600172," Action, Thriller, Science Fiction, Mystery",20.666063,6/20/2002,358372926,8.554335193,145,Minority Report,7.1,2663,Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow, Lois Smith, Peter Stormare,"Steven Spielberg, 2D "
4568,183,6000000,6.77815125," Adventure, Comedy, Drama, Family, Romance",5.763954,12/15/1989,14278900,7.154694752,100,The Wizard,6.1,83,Fred Savage, Luke Edwards, Beau Bridges, Christian Slater, Jenny Lewis, Vince Trankina,Todd Holland
1653,184,12000000,7.079181246," Comedy, Crime, Romance",16.415498,12/24/1997,39673162,7.598496816,154,Jackie Brown,7.3,1580,Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda, Michael Keaton, Robert De Niro,Quentin Tarantino
1170,185,2200000,6.342422681," Science Fiction, Drama",17.112594,12/18/1971,26589000,7.424702004,136,A Clockwork Orange,8,3432,Malcolm McDowell, Patrick Magee, Adrienne Corri, Michael Bates, Warren Clarke, James Marcus,Stanley Kubrick
10910,186,27000000,7.431363764," Drama, Thriller, Crime, Mystery",11.15092,2/24/2006,56308881,7.750576897,110,Lucky Number Slevin,7.4,1356,Josh Hartnett, Bruce Willis, Lucy Liu, Morgan Freeman, Ben Kingsley, Michael Rubenfeld,Paul McGuigan
9914,187,40000000,7.602059991," Action, Thriller, Crime",15.010525,4/1/2005,158733820,8.200669468,124,Sin City,7.2,2755,Jessica Alba, Devon Aoki, Clive Owen, Rosario Dawson, Mickey Rourke, Bruce Willis,Robert Rodriguez
2360,192,20000000,7.301029996," Drama, Thriller, Mystery",11.469751,9/24/1986,77200000,7.8876173,130,The Name of the Rose,7.2,739,Sean Connery, Christian Slater, Helmut Qualtinger, Elya Baskin, Michael Lonsdale, Volker Prechtel,Jean-Jacques Annaud
324,193,38000000,7.579783597," Science Fiction, Action, Adventure, Thriller",8.105708,11/17/1994,120000000,8.079181246,118,Star Trek: Generations,6.4,461,Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn, Gates McFadden,David Carson
4856,194,10000000,7," Comedy, Romance",12.879381,4/25/2001,173921954,8.240354406,122,Amélie,7.8,3403,Audrey Tautou, Mathieu Kassovitz, Rufus, Jamel Debbouze, Claire Maurier, Isabelle Nanty," Supervisor, Jean-Paul Rovela,  Dolly Grip, Kenneth Cornils"
1909,196,40000000,7.602059991," Adventure, Comedy, Family, Science Fiction",13.043999,5/25/1990,244527583,8.388327855,118,Back to the Future Part III,7.1,2978,Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson, Lea Thompson, Elisabeth Shue,Robert Zemeckis
108,197,72000000,7.857332496," Action, Drama, History, War",20.755149,5/24/1995,210000000,8.322219295,177,Braveheart,7.7,3404,Mel Gibson, Catherine McCormack, Sophie Marceau, Patrick McGoohan, Angus Macfadyen, Brendan Gleeson,
1315,199,46000000,7.662757832," Science Fiction, Action, Adventure, Thriller",8.808497,11/21/1996,150000000,8.176091259,111,Star Trek: First Contact,7,671,Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn, Gates McFadden,Jonathan Frakes
