,id,budget,budget_log,genres,popularity,release_date,revenue,revenue_log,runtime,title,vote_average,vote_count,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
2021,2907,30000000,7.477121255," Horror, Comedy, Fantasy",12.962525,11/22/1991,191502426,8.28217428,99,The Addams Family,6.7,871,Raúl Juliá, Anjelica Huston, Christopher Lloyd, Christina Ricci, Carel Struycken, Dan Hedaya,Barry Sonnenfeld
2999,2924,75000000,7.875061263," Action, Crime, Drama, Mystery, Thriller",9.883727,5/24/1991,152368585,8.182895434,137,Backdraft,6.4,360,Kurt Russell, William Baldwin, Robert De Niro, Donald Sutherland, Jennifer Jason Leigh, Scott Glenn,"Chef, Pierre Remy, Pyrotechnic Supervisor, Robert Finley Jr., Sign Painter, Robert E. Knight"
809,2925,26000000,7.414973348,Comedy,10.177303,9/20/1996,116400000,8.06595298,102,The First Wives Club,6.5,172,Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith, Dan Hedaya, Victor Garber,
11956,2959,35000000,7.544068044,Comedy,7.102076,7/4/2007,69307224,7.840778504,91,License to Wed,5.3,258,Robin Williams, Mandy Moore, John Krasinski, Eric Christian Olsen, Christine Taylor, Josh Flitter,Ken Kwapis
11846,2976,50000000,7.698970004," Family, Comedy, Music, Romance",7.768045,7/13/2007,90450008,7.95640861,117,Hairspray,6.5,738,John Travolta, Michelle Pfeiffer, Christopher Walken, James Marsden, Queen Latifah, Nikki Blonsky,",Choreographer, Anne Fletcher, Adam Shankman,  Choreographer, Jamal Sims, Choreographer, Zachary Woodlee"
11710,2977,16500000,7.217483944," Drama, Romance",7.829737,3/2/2007,37311672,7.571844711,120,Becoming Jane,6.9,325,Anne Hathaway, James McAvoy, Julie Walters, James Cromwell, Maggie Smith, Joe Anderson,Julian Jarrold
2611,2978,37000000,7.568201724," Comedy, Fantasy",16.414239,6/15/1989,215394738,8.333235089,108,Ghostbusters II,6.3,1131,Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis, Rick Moranis, Ernie Hudson,
11951,3021,25000000,7.397940009," Horror, Thriller",9.196884,7/12/2007,94679598,7.976256405,104,1408,6.5,1372,John Cusack, Samuel L. Jackson, Mary McCormack, Jasmine Jessica Anthony, Tony Shalhoub, Alexandra Silber,Mikael Håfström
1240,3034,2800000,6.447158031," Comedy, Science Fiction",9.339316,12/15/1974,86273333,7.935876576,106,Young Frankenstein,7.7,880,Gene Wilder, Peter Boyle, Marty Feldman, Madeline Kahn, Cloris Leachman, Teri Garr,
2539,3035,291000,5.463892989," Drama, Horror, Science Fiction",8.091603,11/21/1931,12000000,7.079181246,71,Frankenstein,7.3,295,Colin Clive, Mae Clarke, John Boles, Boris Karloff, Edward Van Sloan, Frederick Kerr,"James Whale, Stand In, Robert Livingston"
269,3036,45000000,7.653212514," Drama, Horror, Science Fiction, Romance",14.287753,11/4/1994,112006296,8.049242436,123,Mary Shelley's Frankenstein,6.1,272,Robert De Niro, Kenneth Branagh, Tom Hulce, Helena Bonham Carter, Aidan Quinn, Ian Holm,Kenneth Branagh
9749,3040,4200000,6.62324929," Fantasy, Action, Thriller",8.803869,6/27/2004,32000000,7.505149978,114,Night Watch,6.3,212,Konstantin Khabenskiy, Vladimir Menshov, Galina Tyunina, Mariya Poroshina, Zhanna Friske, Viktor Verzhbitskiy,Timur Bekmambetov
339,3049,15000000,7.176091259," Comedy, Mystery",11.247957,2/4/1994,107217396,8.030265255,86,Ace Ventura: Pet Detective,6.4,1684,Jim Carrey, Sean Young, Courteney Cox, Tone Loc, Dan Marino, Noble Willingham,Tom Shadyac
1808,3050,71000000,7.851258349," Comedy, Family, Fantasy",9.439079,6/22/1998,294456605,8.4690213,85,Doctor Dolittle,5.4,705,Eddie Murphy, Ossie Davis, Oliver Platt, Peter Boyle, Richard Schiff, Kristen Wilson,Betty Thomas
6520,3055,5000000,6.698970004," Music, Drama, Romance",2.474398,12/27/1967,50000000,7.698970004,123,Valley of the Dolls,6.7,30,Barbara Parkins, Patty Duke, Sharon Tate, Paul Burke, Tony Scotti, Lee Grant,Mark Robson
8335,3060,245000,5.389166084," Drama, Romance, War",2.084627,11/5/1925,22000000,7.342422681,151,The Big Parade,7,22,John Gilbert, Renée Adorée, Hobart Bosworth, Claire McDowell, Claire Adams, Robert Ober,King Vidor
6951,3062,439000,5.64246452," Music, Comedy, Romance",4.718154,2/2/1933,2281000,6.358125285,89,42nd Street,6.1,38,Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler, Guy Kibbee, Una Merkel,Lloyd Bacon
884,3078,325000,5.511883361," Comedy, Romance",6.465257,2/22/1934,4500000,6.653212514,105,It Happened One Night,7.7,283,Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns, Jameson Thomas, Alan Hale,Frank Capra
924,3080,609000,5.784617293," Comedy, Music, Romance",7.122093,9/6/1935,3202000,6.505421328,101,Top Hat,7.4,62,Fred Astaire, Ginger Rogers, Edward Everett Horton, Helen Broderick, Erik Rhodes, Eric Blore,Sound Effects
6941,3089,3000000,6.477121255,Western,6.09018,8/26/1948,9012000,6.954821183,133,Red River,7.3,85,John Wayne, Montgomery Clift, Joanne Dru, Walter Brennan, Coleen Gray, Harry Carey,"Howard Hawks, Arthur Rosson"
